case_number,link_to_h2a,farm,market,best_address,latitude,longitude,recruiter,year,person,hit_or_no_hit,online_presence,certainty,location
H-300-20013-248635,https://seasonaljobs.dol.gov/api/job-order/H-300-20013-248635,Down South Berries LLC,"Naturipe Farms, 99 Cents Only Stores, Ahold, Aldi, AWG, Bashas, Big Y, Charlie's Produce, Costco, Delhaize, Dollar General, Food Lion, Giant Eagle, Harris Teeter, H.E.B., H-Mart, Jewel, K-VA-T Food Stores, King Soopers, Kroger, Loblaw, Market Basket, Meijer, Publix, Raley's, Roundy's, Safeway, Sam's Club, Save Mart, Sendik's Food Markets, Shaw's, Sobeys, SpartanNash, Sprouts Farmers Market, Super, Target, Supervalu, Trader Joe's, Walmart, Wegmans, Whole Foods, and WinCo","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,D Mendoza - 1,2020.0,Ben,Hit,"website, but also relied on info gained over a telephone call",1.0,"Nicholls, GA 31554, USA"
H-300-20002-228933,https://seasonaljobs.dol.gov/api/job-order/H-300-20002-228933,L&S Farm,"Store Locator – sealtheseasons, Peoples-Food Ann Arbor, Plum Market, Zerbo's.","213 PINECONE ROAD, Alma, GA 31510",31.4990436,-82.50046909999999,D Mendoza - 1,2020.0,Ben,Hit,"Websites, including SoS",1.0,"213 Pinecone Rd, Alma, GA 31510, USA"
H-300-22014-831909,https://seasonaljobs.dol.gov/api/job-order/H-300-22014-831909,Burnham Berry Farms,"99 cents, kroger, costco, whole foods, trader joe's, walmart, publix, meijer, etc.","211 Dorothy Burnham Road Nicholls, Georgia 31554",31.49078489999999,-82.6319343,JS Mendoza,2022.0,Ben,Hit,Website,3.0,"211 Dorothy Burnam Rd, Nicholls, GA 31554, USA"
H-300-20357-975271,https://seasonaljobs.dol.gov/api/job-order/H-300-20357-975271,Smith Family Farms,Dillons,"931 SA HARDEN RD, Lyons, GA 30436",32.135268,-82.313271,JS Mendoza,2021.0,Ben,Hit,Facebook,2.0,"931 SA Harden Rd, Lyons, GA 30436, USA"
H-300-21006-998351,https://seasonaljobs.dol.gov/api/job-order/H-300-21006-998351,"MP Aquino Harvesting, LLC","Naturipe, Alpine Fresh","183 MARIGOLD LANE, Alma, GA 31510",31.4855312,-82.444244,JS Mendoza,2021.0,Ben,Hit,"Google maps, website",1.0,"183 Marigold Ln, Alma, GA 31510, USA"
H-300-20009-241352,https://seasonaljobs.dol.gov/api/job-order/H-300-20009-241352,(None found),"Naturipe, Alpine Fresh","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,JS Mendoza,2020.0,Ben,Hit,"Google maps, website",1.0,"Nicholls, GA 31554, USA"
H-300-23086-881434,https://seasonaljobs.dol.gov/api/job-order/H-300-23086-881434,G&R Farms,"King Soopers (from website pictures)
G&R Farms is a direct to consumer retailer - customer reviews on google
Potential (from facebook followers): Schnucks
Growing retailers (participating retailers: Wegmens, Costco, Target, etc)","102 Joe Dasher Rd Glennville, Georgia 30427",31.9296525,-81.9041501,M Saavedra - 3,2023.0,Isaura,Hit,Both,2.0,"Dasher Rd, Glennville, GA 30427, USA"
H-300-21253-577257,https://seasonaljobs.dol.gov/api/job-order/H-300-21253-577257,"Pro-Health, LLC","Walmart, Meijer, HEB","36635 A Street, Wray, CO 80758",40.1026297,-102.228759,B Bussey - 5,2022.0,Karma,Hit,,,"36635 A St, Wray, CO 80758, USA"
H-300-20260-827359,https://seasonaljobs.dol.gov/api/job-order/H-300-20260-827359,"Red Sky Ag, LLC","Costco, Weis Markets","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,B Bussey - 5,2021.0,Karma,Hit,"Google review, Facebook and Instagram",,"Nicholls, GA 31554, USA"
H-300-20363-980683,https://seasonaljobs.dol.gov/api/job-order/H-300-20363-980683,Farmers John Berries,Publix,"1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,B Bussey - 5,2021.0,Karma,Hit,Website,,"Nicholls, GA 31554, USA"
